library,compound_id,label,MW,logP,HBD,HBA,TPSA,RotBonds,AromaticRings,HeavyAtoms,FormalCharge,QED,Fsp3,LipinskiViolations
fpr2_actives_chembl,CHEMBL6038159,active,329.831,3.6072000000000024,3,2,53.160000000000004,3,2,23,0,0.8054452575499867,0.2777777777777778,0
fpr2_actives_chembl,CHEMBL5992656,active,397.90600000000023,4.256200000000003,2,2,61.440000000000005,4,2,28,0,0.8093852212876225,0.36363636363636365,0
fpr2_actives_chembl,CHEMBL6025047,active,397.90600000000023,4.256200000000003,2,2,61.440000000000005,4,2,28,0,0.8093852212876225,0.36363636363636365,0
fpr2_actives_chembl,CHEMBL5789883,active,409.8640000000002,4.583800000000003,2,3,53.6,4,2,28,0,0.7764978339246301,0.35,0
fpr2_actives_chembl,CHEMBL6039512,active,373.8840000000002,4.305600000000002,2,3,53.6,4,2,26,0,0.8393638114974308,0.35,0
fpr2_actives_chembl,CHEMBL6040828,active,378.2590000000001,3.787200000000002,3,2,70.23,3,2,25,0,0.7607731730745567,0.2222222222222222,0
fpr2_actives_chembl,CHEMBL5797619,active,323.194,3.4450000000000003,3,2,69.81,4,2,19,0,0.8064778432543092,0.23076923076923078,0
fpr2_actives_chembl,CHEMBL6035402,active,337.221,3.8351000000000015,3,2,69.81,5,2,20,0,0.7758855178574253,0.2857142857142857,0
fpr2_actives_chembl,CHEMBL6051400,active,337.221,3.6910000000000007,3,2,69.81,4,2,20,0,0.7962867244915594,0.2857142857142857,0
fpr2_actives_chembl,CHEMBL5748702,active,295.14,2.493900000000001,3,2,69.81,3,2,17,0,0.8139101854615187,0.09090909090909091,0
fpr2_actives_chembl,CHEMBL5939756,active,309.167,3.054900000000001,3,2,69.81,3,2,18,0,0.8153253200338866,0.16666666666666666,0
fpr2_actives_chembl,CHEMBL5828185,active,312.29499999999996,3.7013000000000007,3,2,69.81,4,2,22,0,0.8053649668909411,0.2857142857142857,0
fpr2_actives_chembl,CHEMBL5786537,active,409.28400000000005,3.4815000000000014,2,4,85.25,7,2,25,0,0.6861267850807634,0.35294117647058826,0
fpr2_actives_chembl,CHEMBL5967187,active,423.3110000000002,3.8716000000000017,2,4,85.25000000000001,8,2,26,0,0.6316512596752779,0.3888888888888889,0
fpr2_actives_chembl,CHEMBL5917521,active,451.36500000000024,4.650200000000003,2,4,85.25000000000001,7,2,28,0,0.6005329631548071,0.45,0
fpr2_actives_chembl,CHEMBL5975288,active,451.36500000000024,4.506100000000003,2,4,85.25000000000001,6,2,28,0,0.6334999364688866,0.45,0
fpr2_actives_chembl,CHEMBL5861197,active,381.23,2.5304,2,4,85.25,6,2,23,0,0.7535190924053264,0.26666666666666666,0
fpr2_actives_chembl,CHEMBL5945499,active,353.2200000000001,2.5206000000000004,3,3,79.18,5,2,21,0,0.7729189460741983,0.2857142857142857,0
fpr2_actives_chembl,CHEMBL5863469,active,395.257,3.091400000000001,2,4,85.25,6,2,24,0,0.7365889781210088,0.3125,0
fpr2_actives_chembl,CHEMBL6006457,active,398.38500000000005,3.737800000000002,2,4,85.25,7,2,28,0,0.6961447540810536,0.3888888888888889,0
fpr2_actives_chembl,CHEMBL5917894,active,381.23000000000013,3.003,3,3,96.25000000000001,6,2,23,0,0.7168556606610841,0.26666666666666666,0
fpr2_actives_chembl,CHEMBL5922158,active,353.17600000000004,2.0519,3,3,96.25,5,2,21,0,0.7666151670454238,0.15384615384615385,0
fpr2_actives_chembl,CHEMBL5872537,active,367.2030000000001,2.6129,3,3,96.25000000000001,5,2,22,0,0.7570161444548861,0.21428571428571427,0
fpr2_actives_chembl,CHEMBL5771049,active,367.20300000000003,2.6129000000000007,3,3,96.25,5,2,22,0,0.7570161444548861,0.21428571428571427,0
fpr2_actives_chembl,CHEMBL6012009,active,395.2570000000002,3.3931000000000013,3,3,96.25000000000001,7,2,24,0,0.6697137086140533,0.3125,0
